gab;file_1;file_2;sample_size;threshold;tm;tnm;fm;precision;recall;f1;detlta;t1;t2
trip-yelp;tripadvisor-b;yelp-d;10000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.1156165599822998;1502319398.604932;1502319398.7205486
trip-yelp;tripadvisor-b;yelp-d;10000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11262226104736328;1502319398.7205486;1502319398.833171
trip-yelp;tripadvisor-b;yelp-d;10000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11612391471862793;1502319398.833171;1502319398.9492948
trip-yelp;tripadvisor-b;yelp-d;10000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10505962371826172;1502319398.9492948;1502319399.0543544
trip-yelp;tripadvisor-b;yelp-d;10000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.1091010570526123;1502319399.0543544;1502319399.1634555
trip-yelp;tripadvisor-b;yelp-d;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10007882118225098;1502319399.1634555;1502319399.2635343
trip-yelp;tripadvisor-b;yelp-e;10000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.1145930290222168;1502319399.2840717;1502319399.3986647
trip-yelp;tripadvisor-b;yelp-e;10000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11512398719787598;1502319399.3996642;1502319399.5147882
trip-yelp;tripadvisor-b;yelp-e;10000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11110353469848633;1502319399.5147882;1502319399.6258917
trip-yelp;tripadvisor-b;yelp-e;10000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10611915588378906;1502319399.6258917;1502319399.7320108
trip-yelp;tripadvisor-b;yelp-e;10000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.14711666107177734;1502319399.7320108;1502319399.8791275
trip-yelp;tripadvisor-b;yelp-e;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.15968680381774902;1502319399.8791275;1502319400.0388143
trip-yelp;tripadvisor-b;yelp-a;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.1380910873413086;1502319400.0874557;1502319400.2255468
trip-yelp;tripadvisor-b;yelp-a;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11512279510498047;1502319400.2255468;1502319400.3406696
trip-yelp;tripadvisor-b;yelp-a;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.1141049861907959;1502319400.3416698;1502319400.4557748
trip-yelp;tripadvisor-b;yelp-a;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.11108517646789551;1502319400.4567745;1502319400.5678596
trip-yelp;tripadvisor-b;yelp-a;5000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.11217284202575684;1502319400.5678596;1502319400.6800325
trip-yelp;tripadvisor-b;yelp-a;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.09861302375793457;1502319400.6800325;1502319400.7786455
trip-yelp;tripadvisor-b;yelp-b;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.12010812759399414;1502319400.7986789;1502319400.918787
trip-yelp;tripadvisor-b;yelp-b;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11162495613098145;1502319400.918787;1502319401.030412
trip-yelp;tripadvisor-b;yelp-b;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.10911846160888672;1502319401.030412;1502319401.1395304
trip-yelp;tripadvisor-b;yelp-b;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.11510348320007324;1502319401.1395304;1502319401.254634
trip-yelp;tripadvisor-b;yelp-b;5000;0.8;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10407853126525879;1502319401.254634;1502319401.3587124
trip-yelp;tripadvisor-b;yelp-b;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.1020970344543457;1502319401.3587124;1502319401.4608095
trip-yelp;tripadvisor-b;yelp-c;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.12167048454284668;1502319401.4823272;1502319401.6039977
trip-yelp;tripadvisor-b;yelp-c;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.1481330394744873;1502319401.6039977;1502319401.7521307
trip-yelp;tripadvisor-b;yelp-c;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.12259864807128906;1502319401.7521307;1502319401.8747294
trip-yelp;tripadvisor-b;yelp-c;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10807967185974121;1502319401.8747294;1502319401.982809
trip-yelp;tripadvisor-b;yelp-c;5000;0.8;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10511994361877441;1502319401.9833093;1502319402.0884292
trip-yelp;tripadvisor-b;yelp-c;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10213804244995117;1502319402.0884292;1502319402.1905673
trip-yelp;tripadvisor-b;yelp-d;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.18718504905700684;1502319402.2245734;1502319402.4117584
trip-yelp;tripadvisor-b;yelp-d;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11412525177001953;1502319402.4117584;1502319402.5258837
trip-yelp;tripadvisor-b;yelp-d;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11011981964111328;1502319402.5258837;1502319402.6360035
trip-yelp;tripadvisor-b;yelp-d;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10762310028076172;1502319402.6360035;1502319402.7436266
trip-yelp;tripadvisor-b;yelp-d;5000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.12864995002746582;1502319402.7436266;1502319402.8722765
trip-yelp;tripadvisor-b;yelp-d;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10408639907836914;1502319402.8732781;1502319402.9773645
trip-yelp;tripadvisor-b;yelp-e;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.19117379188537598;1502319402.9983995;1502319403.1895733
trip-yelp;tripadvisor-b;yelp-e;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.21722078323364258;1502319403.1905937;1502319403.4078145
trip-yelp;tripadvisor-b;yelp-e;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.1241154670715332;1502319403.4078145;1502319403.53193
trip-yelp;tripadvisor-b;yelp-e;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10613727569580078;1502319403.5329115;1502319403.6390488
trip-yelp;tripadvisor-b;yelp-e;5000;0.8;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.11162352561950684;1502319403.6390488;1502319403.7506723
trip-yelp;tripadvisor-b;yelp-e;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10159969329833984;1502319403.7506723;1502319403.852272
trip-yelp;tripadvisor-c;yelp-a;100;0.4;4;3;2;0.6666666666666666;0.5714285714285714;0.6153846153846153;0.11612844467163086;1502319403.898149;1502319404.0142775
trip-yelp;tripadvisor-c;yelp-a;100;0.5;4;3;2;0.6666666666666666;0.5714285714285714;0.6153846153846153;0.11512517929077148;1502319404.0142775;1502319404.1294026
trip-yelp;tripadvisor-c;yelp-a;100;0.6;4;3;2;0.6666666666666666;0.5714285714285714;0.6153846153846153;0.11108779907226562;1502319404.1294026;1502319404.2404904
trip-yelp;tripadvisor-c;yelp-a;100;0.7;3;4;1;0.75;0.42857142857142855;0.5454545454545454;0.14862275123596191;1502319404.2404904;1502319404.3891132
trip-yelp;tripadvisor-c;yelp-a;100;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10513687133789062;1502319404.3891132;1502319404.49425
trip-yelp;tripadvisor-c;yelp-a;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10308694839477539;1502319404.49425;1502319404.597337
